Q34,Q35,Q36,Q37,Q38,Q39,Q40,Q41,Q42A,Q42B,Q36A,Q42C
-0.8606031234722884,1,0,0,1,2,2,neu,not,exp,1.0,-1.1190751741270153
-0.8606031234722884,2,0,0,4,1,2,neu,far,chp,1.0,0.2321716529825084
-1.6358045929672465,0,2,2,4,2,2,neu,far,exp,1.0,0.2321716529825084
-1.6358045929672465,2,0,0,4,2,2,neu,gu,chp,1.0,-0.21824395605399952
-0.08540165397733045,2,0,0,3,1,1,neu,far,chp,1.0,0.2321716529825084
-0.08540165397733045,2,0,2,3,3,1,con,gu,chp,0.0,-0.21824395605399952
-0.08540165397733045,2,2,2,2,1,1,con,gu,chp,1.0,-0.21824395605399952
-0.08540165397733045,2,2,2,4,2,1,con,far,chp,1.0,0.2321716529825084
-0.08540165397733045,2,2,2,4,1,2,con,gu,chp,1.0,-0.21824395605399952
-0.08540165397733045,2,0,0,4,2,1,con,gu,chp,1.0,-0.21824395605399952
-0.08540165397733045,2,2,2,4,1,1,neu,gu,chp,1.0,-0.21824395605399952
0.14715878687115694,1,0,2,1,3,1,con,far,exp,1.0,1.5834184800920321
0.6897998155176275,2,2,2,2,3,2,neu,gu,exp,0.0,-0.21824395605399952
-0.08540165397733045,2,2,0,5,3,2,pro,gu,chp,0.0,-0.21824395605399952
-0.08540165397733045,0,1,1,5,2,2,neu,gu,chp,1.0,-0.4434517605722535
0.30219908077014856,2,2,1,3,4,1,neu,far,exp,1.0,0.2321716529825084
-0.08540165397733045,2,0,2,5,2,1,con,far,exp,2.0,0.2321716529825084
-1.6358045929672465,0,1,2,3,2,2,neu,not,exp,1.0,-1.1190751741270153
-0.08540165397733045,2,2,2,3,2,1,con,far,exp,0.0,-0.4434517605722535
-0.08540165397733045,2,0,0,4,2,2,con,gu,chp,1.0,-0.21824395605399952
-0.8606031234722884,0,0,0,4,2,2,neu,far,chp,1.0,0.6825872620190163
-0.08540165397733045,0,2,1,4,3,2,pro,far,chp,0.0,1.1330028710555242
-0.8606031234722884,0,2,2,3,4,2,pro,far,chp,1.0,1.1330028710555242
-0.8606031234722884,0,2,2,1,1,1,neu,gu,exp,0.0,-0.21824395605399952
-0.8606031234722884,0,0,0,4,2,1,con,gu,chp,1.0,-0.21824395605399952
-0.08540165397733045,0,0,0,4,2,2,neu,far,chp,1.0,0.2321716529825084
-1.5582844460177505,2,2,2,3,3,2,pro,not,exp,1.0,-1.1190751741270153
-4.3490097361996,0,1,2,2,4,1,pro,far,exp,1.0,-0.21824395605399952
-1.6358045929672465,0,1,1,4,1,1,con,gu,chp,1.0,-0.21824395605399952
-1.6358045929672465,0,2,2,4,1,1,con,far,exp,2.0,0.2321716529825084
-1.6358045929672465,2,0,0,4,2,1,neu,gu,chp,0.0,-0.21824395605399952
-1.6358045929672465,2,0,0,4,2,1,neu,far,chp,1.0,0.2321716529825084
-0.8606031234722884,2,2,2,2,2,1,neu,far,exp,1.0,0.2321716529825084
-0.8606031234722884,0,0,0,2,1,1,neu,far,exp,1.0,0.2321716529825084
0.6897998155176275,0,1,1,5,4,2,neu,far,exp,1.0,2.484249698165048
-0.08540165397733045,0,0,0,2,2,2,con,gu,chp,2.0,-0.21824395605399952
-0.08540165397733045,2,1,1,4,1,2,neu,gu,chp,1.0,-0.21824395605399952
-0.08540165397733045,2,2,2,2,2,1,con,far,exp,2.0,0.2321716529825084
-0.08540165397733045,2,2,2,2,2,1,neu,far,exp,2.0,0.2321716529825084
-0.08540165397733045,2,1,0,5,3,2,pro,far,chp,2.0,0.6825872620190163
0.6897998155176275,2,1,1,2,3,2,pro,gu,exp,1.0,-0.6686595650905075
-0.08540165397733045,0,1,1,4,4,2,neu,not,exp,0.0,-1.1190751741270153
-0.8606031234722884,0,1,1,5,1,1,con,not,exp,1.0,-1.1190751741270153
0.6897998155176275,2,0,0,5,3,2,neu,dong,chp,0.0,-0.8938673696087615
