,FAM1,REL,JEN,MAR,RLI,DE2,DE3,DE7,DE8,DE9
328,1,0,2,1,2,2,0,1,4,4
329,1,0,1,1,0,1,1,1,3,1
330,1,0,1,1,0,1,1,1,2,1
331,1,0,2,1,0,0,1,1,2,4
332,1,1,2,1,1,2,0,1,4,4
333,1,0,1,2,1,0,0,1,2,4
334,1,0,2,1,1,1,1,1,3,1
335,1,0,1,1,1,1,1,1,2,3
336,1,0,1,2,2,0,1,1,3,1
337,1,0,1,2,0,0,1,1,2,1
338,1,0,1,1,0,2,0,1,2,3
339,1,0,2,1,2,0,1,1,3,4
340,1,0,2,1,2,0,1,1,3,1
341,1,0,1,1,2,1,0,1,3,1
342,1,0,2,1,2,1,1,1,2,4
343,1,0,1,2,2,0,1,1,2,4
344,1,0,1,1,2,1,1,1,3,1
345,1,0,2,1,2,1,1,1,3,3
346,1,0,2,1,2,1,0,1,2,4
347,1,0,2,3,2,1,1,1,4,3
348,1,0,2,1,0,0,1,1,3,4
349,1,0,1,1,0,1,1,1,2,1
350,1,0,2,2,2,0,0,1,5,4
351,1,0,1,1,2,1,1,1,4,1
352,1,0,2,1,2,1,1,1,4,1
353,1,1,1,4,2,2,0,1,3,4
354,1,0,2,1,2,1,0,1,3,4
355,1,0,1,1,2,1,0,1,3,3
356,1,0,1,2,2,0,0,1,3,4
357,1,0,1,1,2,1,1,1,2,1
358,1,0,2,1,2,1,1,1,3,4
359,1,0,2,2,2,0,0,1,3,4
360,1,0,1,1,2,1,1,1,3,1
361,1,0,1,1,1,1,1,1,4,3
362,1,0,2,2,2,0,1,1,4,1
363,0,0,1,2,0,0,1,1,4,1
364,1,0,2,2,0,0,1,1,5,3
365,1,0,2,1,0,0,1,1,2,1
366,1,0,2,1,2,2,0,1,2,4
367,1,0,1,1,2,2,0,1,3,3
368,1,0,2,2,0,0,1,1,2,4
369,1,0,1,1,0,1,1,1,2,1
370,1,0,1,1,0,1,1,1,3,1
371,1,0,2,1,0,0,1,1,1,1
372,1,0,2,1,1,1,1,1,3,1
373,1,0,1,2,2,0,1,1,3,1
374,1,0,1,1,0,2,1,1,3,3
375,1,0,2,1,0,2,0,1,3,4
376,1,0,1,1,2,0,0,1,3,3
377,1,0,2,1,2,0,1,1,3,4
378,1,0,1,1,2,2,0,1,3,4
379,1,0,2,1,2,2,0,1,2,4
380,1,0,2,1,1,2,0,1,3,4
381,1,0,1,1,0,1,1,1,3,1
382,1,0,1,1,2,2,0,1,3,3
383,1,0,2,2,2,0,1,1,2,1
384,1,0,2,1,1,1,1,1,3,4
385,1,0,1,1,1,1,1,1,2,1
386,1,0,2,1,0,2,0,1,2,4
387,1,0,1,1,0,2,0,1,2,3
388,1,0,1,1,2,2,1,1,1,1
389,1,0,2,1,2,2,1,1,2,3
390,0,0,2,4,0,2,0,1,3,1
391,1,0,1,1,0,0,1,1,3,1
392,1,0,2,1,0,0,1,1,2,4
393,1,0,1,1,2,1,0,1,3,3
394,1,0,2,2,2,0,1,1,2,4
395,1,0,2,1,0,0,1,1,2,1
396,1,0,1,1,0,0,1,1,3,1
397,1,0,1,1,2,1,1,1,4,3
398,1,0,1,2,2,0,0,1,2,4
399,1,0,1,1,0,1,0,1,3,3
400,1,0,1,1,2,1,1,1,3,1
401,1,0,2,1,2,1,0,1,3,4
402,1,0,1,1,2,2,1,1,3,3
403,1,0,2,1,2,2,0,1,2,4
404,0,0,2,3,0,2,0,1,1,3
405,1,0,2,2,2,0,0,1,2,4
406,1,0,1,1,2,0,1,1,2,1
407,1,0,2,1,2,0,0,1,3,4
408,1,0,2,1,2,1,0,1,2,1
409,1,0,1,1,2,1,0,1,3,3
410,1,0,2,2,2,0,0,1,2,4
411,1,0,2,1,2,0,1,1,2,4
412,1,0,1,1,2,1,1,1,2,3
413,1,0,1,1,0,1,0,1,3,3
414,1,0,2,1,2,0,1,1,3,1
415,1,0,1,1,2,1,1,1,3,1
416,1,0,2,1,1,1,1,1,3,1
417,1,0,1,1,1,1,1,1,3,3
418,1,0,2,1,2,1,1,1,2,1
419,1,0,2,2,2,0,1,1,3,4
420,1,0,1,1,2,1,1,1,2,3
421,1,0,1,1,0,1,1,1,3,3
422,1,0,1,1,0,1,1,1,3,3
423,1,0,2,1,0,1,0,1,2,4
424,1,0,2,2,2,0,0,1,3,4
425,1,0,2,1,0,1,0,1,2,3
426,1,0,1,1,2,1,0,1,2,3
427,1,0,2,1,2,1,1,1,3,1
428,1,0,2,1,2,0,0,1,3,4
429,1,0,1,1,2,0,0,1,2,3
430,1,0,2,1,2,1,0,1,3,3
431,1,0,1,1,0,2,0,1,3,4
432,1,0,2,2,2,0,0,1,3,1
433,1,0,2,1,2,1,1,1,3,4
434,1,0,1,1,2,1,1,1,2,4
435,1,0,2,1,2,1,1,1,3,4
436,1,0,1,1,2,1,0,1,2,3
437,1,0,2,1,0,1,0,1,2,3
438,1,0,2,1,2,1,1,1,3,4
439,1,0,1,2,2,0,0,1,3,4
440,1,0,1,2,2,0,1,1,2,3
441,1,0,1,3,2,1,0,1,2,1
442,1,0,1,2,2,0,1,1,3,4
443,1,0,2,1,1,1,0,1,3,3
444,1,0,1,1,2,1,1,1,3,3
445,0,0,1,2,2,1,0,1,4,3
446,1,0,1,1,2,0,1,1,3,3
447,1,0,2,2,2,0,1,1,4,3
448,1,0,1,1,2,1,1,1,5,3
449,1,0,2,1,2,1,1,1,4,3
450,1,0,1,2,0,0,1,1,3,4
451,1,0,1,1,1,2,0,1,4,3
452,1,0,1,1,1,2,0,1,4,3
453,1,0,1,1,2,1,1,1,3,3
454,1,0,1,1,1,2,0,1,4,3
455,1,0,2,1,1,2,0,1,4,4
456,1,0,2,1,1,2,0,1,4,3
457,1,0,1,1,2,0,0,1,3,3
458,1,0,1,1,1,1,0,1,4,3
459,1,0,2,1,1,1,0,1,4,3
460,1,0,1,2,2,0,1,1,3,1
461,1,0,2,1,2,2,0,1,3,4
462,1,0,1,1,2,2,0,1,4,3
463,1,0,1,2,2,0,1,1,4,1
464,1,0,2,2,2,0,0,1,3,4
465,1,0,1,1,2,2,0,1,3,3
466,1,0,2,2,2,0,1,1,3,1
467,1,0,1,1,2,1,1,1,2,3
468,1,0,2,1,2,1,1,1,3,4
469,1,0,1,2,2,0,1,1,3,1
470,1,0,2,1,0,0,1,1,4,4
471,1,0,1,1,0,0,1,1,3,3
472,1,0,2,1,2,0,1,1,3,4
473,1,0,1,1,0,0,1,1,3,1
474,1,0,2,1,0,0,1,1,3,4
475,1,0,2,1,0,1,1,1,3,1
476,1,1,2,3,0,2,0,1,3,4
477,1,0,2,1,2,2,0,1,3,3
478,1,0,1,2,2,0,0,1,3,4
479,1,0,1,1,2,1,1,1,2,1
480,1,0,2,2,2,0,0,1,3,4
481,1,0,2,1,2,1,1,1,3,1
482,1,0,2,1,1,1,1,1,4,4
483,1,0,1,1,1,1,1,1,3,1
484,1,0,1,2,1,0,0,1,4,4
485,1,0,2,1,0,0,1,1,4,4
486,1,0,1,1,0,1,1,1,2,1
487,1,0,2,1,2,1,1,1,2,4
488,1,0,1,2,2,0,0,1,3,4
489,1,0,1,1,2,1,1,1,2,1
490,1,0,2,2,2,0,1,1,2,4
491,1,0,1,1,2,1,1,1,2,3
492,1,0,2,1,2,1,1,1,3,4
493,1,0,2,2,2,0,0,1,3,4
494,1,0,2,1,2,0,1,1,3,4
495,1,0,1,1,2,0,1,1,4,1
496,1,0,2,1,0,1,1,1,2,4
