,Q26,Q27,Q28,Q30A1,Q30A4,Q30A5,Q31A1,Q32A1,Q32A3,Q32A4,Q32A5,Q32A6,Q33A1,Q33A3,Q33A4,Q33A7,Q33A8
74,-0.7781937168921504,3.5,3.0,4.5,3.0,3.0,2.0,4.5,3.0,1.5,4.5,1.5,0.0,1.5,0.0,1.5,1.5
75,-0.7781937168921504,3.5,4.5,4.5,4.5,4.5,1.0,1.5,3.0,1.5,3.0,3.0,1.5,0.0,0.0,1.5,1.5
76,0.4850026896104595,3.5,4.5,4.5,1.5,3.0,1.0,1.5,3.0,3.0,1.5,1.5,1.5,1.5,1.5,1.5,0.0
77,0.4850026896104595,3.5,4.5,4.5,3.0,4.5,1.0,3.0,4.5,3.0,1.5,4.5,1.5,0.0,0.0,4.5,0.0
78,-0.7781937168921504,3.5,1.5,4.5,1.5,3.0,1.0,3.0,1.5,1.5,1.5,3.0,1.5,4.5,4.5,1.5,1.5
79,-0.7781937168921504,3.5,1.5,4.5,4.5,4.5,2.0,1.5,1.5,1.5,1.5,3.0,1.5,1.5,1.5,1.5,0.0
80,-0.7781937168921504,5.5,1.5,4.5,1.5,4.5,1.0,1.5,1.5,1.5,1.5,1.5,1.5,0.0,1.5,1.5,1.5
81,-0.7781937168921504,3.5,3.0,4.5,1.5,3.0,1.0,4.5,1.5,4.5,1.5,1.5,4.5,1.5,4.5,4.5,1.5
82,0.4850026896104595,3.5,3.0,4.5,4.5,4.5,2.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,1.5,1.5
83,-0.7781937168921504,3.5,4.5,4.5,1.5,3.0,1.0,1.5,1.5,4.5,3.0,1.5,0.0,0.0,1.5,0.0,1.5
84,-0.7781937168921504,3.5,4.5,4.5,4.5,3.0,1.0,3.0,4.5,1.5,3.0,4.5,1.5,1.5,4.5,4.5,4.5
85,-0.7781937168921504,5.5,3.0,4.5,1.5,4.5,2.0,1.5,1.5,1.5,3.0,1.5,0.0,0.0,0.0,4.5,4.5
86,-0.7781937168921504,5.5,4.5,4.5,4.5,4.5,1.0,1.5,1.5,1.5,1.5,4.5,1.5,1.5,0.0,4.5,1.5
87,-0.7781937168921504,3.5,4.5,4.5,4.5,4.5,2.0,3.0,3.0,4.5,3.0,3.0,1.5,1.5,1.5,4.5,0.0
88,0.4850026896104595,3.5,4.5,4.5,3.0,4.5,1.0,1.5,3.0,4.5,1.5,1.5,1.5,1.5,4.5,1.5,0.0
