,Q43,Q44,Q44A,Q45A1,Q45A3,Q47,Q47B,Q47C,Q48,Q49
232,2,3,0,3,3,2,1,3,0,0
233,0,3,0,3,3,0,0,0,0,1
234,1,2,3,3,2,0,0,0,0,1
235,1,2,3,3,1,1,1,3,0,2
236,0,3,0,3,3,3,2,3,0,1
237,2,3,0,3,2,3,2,2,1,1
238,1,3,0,3,3,1,1,2,0,0
239,1,3,0,3,3,1,1,3,1,2
240,0,2,3,3,2,2,1,3,1,2
241,1,3,0,3,3,0,0,0,2,1
242,1,3,0,3,2,2,1,2,0,2
243,0,3,0,3,3,2,1,3,2,2
244,0,2,3,3,3,0,0,0,1,1
245,2,3,0,3,2,0,0,0,1,0
246,0,3,0,3,0,1,1,2,0,0
247,1,3,0,3,3,1,1,2,0,0
248,2,3,0,3,3,2,1,3,0,2
249,0,3,0,3,3,2,1,2,0,0
250,2,3,0,3,3,0,0,0,2,2
251,0,3,0,3,1,2,1,1,2,2
252,2,1,3,3,3,1,1,3,2,0
253,2,2,3,3,3,1,1,2,1,1
254,0,3,0,3,3,2,1,2,1,2
255,1,3,0,2,3,2,1,2,2,2
256,0,3,0,3,3,2,1,3,0,0
257,2,2,3,3,3,0,0,0,1,1
258,2,3,0,3,3,1,1,2,0,2
259,2,2,3,3,3,0,0,0,1,1
260,2,3,0,3,2,1,1,3,0,2
261,2,3,0,3,3,1,1,3,2,2
262,2,3,0,3,3,1,1,3,1,2
263,2,1,3,3,3,1,1,3,2,2
264,2,3,0,3,1,3,1,1,1,1
265,2,3,0,3,0,2,1,3,1,1
266,0,3,0,3,0,0,0,0,2,1
267,0,3,0,3,1,0,0,0,0,0
268,2,3,0,3,3,0,0,0,2,0
269,0,3,0,3,2,2,1,2,2,2
270,0,3,0,3,3,0,0,0,1,1
271,2,3,0,3,3,1,1,2,0,0
272,0,3,0,3,0,0,0,0,0,1
273,1,3,0,3,0,0,0,0,1,0
274,1,3,0,3,1,0,0,0,1,2
275,2,3,0,3,1,0,0,0,1,1
276,0,3,0,3,3,0,0,0,2,1
277,2,3,0,3,1,0,0,0,2,1
278,0,3,0,2,1,1,1,3,0,2
279,2,3,0,3,3,2,1,3,2,1
280,2,3,0,3,3,2,1,3,2,1
281,0,3,0,3,1,0,0,0,0,0
282,2,3,0,3,3,1,1,2,2,0
283,0,3,0,3,1,3,1,2,2,2
284,2,3,0,2,2,0,0,0,0,0
285,2,2,2,2,2,0,0,0,0,0
286,0,3,0,3,3,3,1,1,1,0
287,2,3,0,1,1,0,0,0,0,0
288,0,3,0,3,1,1,1,3,2,1
289,2,3,0,3,1,0,0,0,0,1
290,1,3,0,3,0,0,0,0,2,0
291,2,3,0,3,0,0,0,0,0,0
292,2,3,0,3,2,0,0,0,2,2
293,2,3,0,3,3,2,1,3,2,1
294,0,3,0,3,1,0,0,0,0,1
295,2,3,0,0,1,2,1,2,0,1
296,1,3,0,3,3,0,0,0,0,1
297,0,3,0,2,1,0,0,0,2,0
298,0,1,3,3,3,0,0,0,1,0
299,0,3,0,3,2,0,0,0,2,0
300,2,3,0,3,1,3,1,2,1,1
301,2,3,0,3,3,1,1,2,2,2
302,0,3,0,2,2,0,0,0,0,1
303,0,3,0,3,1,0,0,0,0,1
304,0,3,0,2,1,1,1,3,2,2
305,2,3,0,3,3,2,1,3,2,2
306,2,3,0,3,1,0,0,0,0,2
307,0,3,0,3,1,0,0,0,0,1
308,2,3,0,3,1,0,0,0,0,1
309,1,3,0,3,0,0,0,0,0,1
310,2,3,0,3,1,1,1,2,2,2
311,0,3,0,3,2,0,0,0,0,1
312,1,1,3,3,0,0,0,0,0,1
313,2,3,0,3,3,0,0,0,0,1
314,0,3,0,3,1,1,1,3,1,1
315,2,1,3,3,3,2,1,3,2,1
316,2,3,0,3,0,0,0,0,0,1
317,2,3,0,3,1,0,0,0,2,2
318,1,3,0,3,3,0,0,0,1,1
319,1,3,0,3,2,2,1,3,1,1
320,2,3,0,3,0,2,1,1,2,0
321,0,3,0,3,0,0,0,0,0,0
322,2,3,0,3,3,1,1,3,2,1
323,2,3,0,3,2,2,1,3,2,2
324,2,1,3,3,3,2,1,3,2,1
325,1,3,0,3,0,3,1,2,1,0
326,0,3,0,3,0,1,1,1,2,1
327,0,3,0,3,0,0,0,0,2,0
328,1,3,0,3,0,0,0,0,0,0
329,0,3,0,3,3,2,1,3,2,2
330,2,3,0,3,3,2,1,3,2,1
331,0,3,0,3,1,0,0,0,1,1
332,0,3,0,3,2,0,0,0,1,0
333,2,3,0,3,1,0,0,0,0,0
334,2,3,0,3,3,3,2,2,2,1
335,2,3,0,3,2,1,1,3,2,2
336,2,3,0,3,2,2,1,3,2,1
337,0,3,0,3,2,2,1,3,2,1
338,0,3,0,3,2,1,1,3,1,2
339,0,3,0,3,1,0,0,0,0,1
340,0,3,0,2,1,2,1,2,0,1
341,1,2,3,3,1,1,1,3,0,0
342,0,3,0,3,3,0,0,0,2,1
343,1,2,3,3,2,0,0,0,0,1
344,0,2,3,2,2,2,1,3,0,2
345,0,3,0,2,2,2,1,3,0,1
346,2,3,0,3,3,0,0,0,1,1
347,2,3,0,3,2,1,1,3,1,1
348,2,3,0,2,3,0,0,0,1,2
349,2,2,3,3,3,1,1,3,1,2
350,2,3,0,2,1,0,0,0,1,1
351,2,2,1,2,1,2,1,3,2,2
352,2,3,0,2,1,2,1,3,2,2
353,2,2,1,2,2,0,0,0,2,2
354,2,3,0,3,3,0,0,0,0,1
355,2,3,0,3,3,1,1,3,1,1
356,2,2,3,3,3,0,0,0,0,1
357,2,3,0,3,2,1,1,3,1,2
358,2,3,0,3,2,0,0,0,0,1
359,2,3,0,3,3,0,0,0,0,1
360,2,3,0,3,2,2,1,3,0,2
361,2,2,3,2,2,2,1,2,2,2
362,2,2,3,2,1,2,1,3,2,2
363,2,3,0,3,2,2,1,3,0,1
364,2,2,2,3,1,2,1,3,1,2
365,0,3,0,3,2,2,1,3,1,2
366,1,3,0,2,2,0,0,0,1,1
367,0,3,0,2,2,2,1,2,1,2
368,0,3,0,3,2,0,0,0,1,1
369,0,3,0,2,1,2,1,3,1,2
370,0,2,3,3,2,2,1,2,1,2
371,0,2,3,3,2,2,1,2,0,2
372,2,1,3,3,3,2,1,3,1,2
373,0,2,3,2,2,2,1,3,0,2
374,2,3,0,3,3,1,1,3,0,2
375,0,3,0,3,2,0,0,0,1,2
376,0,3,0,3,2,1,1,2,1,1
377,0,3,0,3,2,0,0,0,1,2
378,0,3,0,2,3,0,0,0,2,1
379,0,3,0,3,2,0,0,0,0,2
380,0,3,0,3,2,0,0,0,1,1
381,0,2,2,3,2,2,1,1,0,2
382,0,3,0,3,2,1,1,2,1,1
383,0,2,3,2,1,2,1,1,0,1
384,0,3,0,3,2,0,0,0,1,2
385,0,2,2,3,2,1,1,1,1,2
386,1,3,0,2,2,0,0,0,1,2
387,2,2,2,3,2,1,1,1,1,0
388,1,2,2,2,2,2,1,3,1,2
389,1,3,0,3,3,2,1,1,0,2
390,1,3,0,3,1,2,1,2,2,0
391,2,2,2,3,2,2,1,3,1,1
392,2,2,3,2,3,0,0,0,0,2
393,2,2,2,3,2,1,1,3,1,2
394,2,2,2,3,3,0,0,0,1,2
395,2,2,3,3,3,2,1,2,0,1
396,2,2,3,3,3,2,1,3,0,2
397,0,3,0,2,2,2,1,2,0,2
398,0,1,3,2,2,0,0,0,0,2
399,0,3,0,2,1,1,1,2,0,2
400,0,3,0,3,2,3,1,1,1,0
401,0,3,0,2,3,0,0,0,0,2
402,0,2,2,2,3,1,1,2,1,2
403,0,3,0,2,2,0,0,0,0,2
404,0,3,0,2,1,1,1,2,1,1
405,2,3,0,3,3,0,0,0,0,2
406,2,2,3,3,2,2,1,2,1,2
407,2,2,3,2,2,0,0,0,1,2
408,0,3,0,3,2,2,1,3,0,1
409,0,3,0,3,2,2,1,3,1,2
410,0,3,0,3,2,0,0,0,0,2
411,2,2,3,3,3,0,0,0,0,1
412,2,2,3,3,3,2,1,3,1,2
413,2,2,3,3,3,2,1,2,1,2
414,2,2,3,1,3,2,1,2,0,1
415,2,2,2,3,3,2,1,2,0,2
416,2,2,3,3,2,2,1,2,0,1
417,0,2,3,3,2,2,1,3,0,2
418,2,2,2,3,3,2,1,3,0,1
419,2,2,2,3,2,0,0,0,0,1
420,2,2,3,3,2,2,1,3,1,2
421,2,2,3,3,3,2,1,3,0,2
422,0,3,0,3,2,1,1,2,0,2
423,2,3,0,3,2,0,0,0,1,2
424,0,2,2,2,2,0,0,0,1,2
425,0,3,0,1,2,3,2,2,1,1
426,1,3,0,3,3,2,1,3,0,0
427,0,3,0,3,3,3,2,3,1,0
428,0,3,0,1,3,0,0,0,1,0
429,0,3,0,3,3,2,1,1,1,1
430,1,2,3,2,3,1,1,3,0,1
431,1,3,0,0,0,0,0,0,2,1
432,1,3,0,3,2,2,1,2,0,0
433,1,3,0,3,3,0,0,0,1,1
434,0,2,3,0,0,2,1,3,1,1
435,1,3,0,2,2,0,0,0,1,1
436,1,3,0,2,2,3,2,3,0,0
437,1,3,0,3,3,1,1,3,0,0
438,1,2,3,3,2,0,0,0,0,0
439,0,2,3,2,3,0,0,0,0,1
440,0,2,3,2,3,2,1,3,0,0
441,1,3,0,3,3,2,1,2,0,0
442,1,3,0,3,3,0,0,0,0,1
443,0,3,0,2,1,3,2,3,1,0
