,FAM1,REL,JEN,MAR,RLI,DE2,DE3,DE7,DE8,DE9
282,1,0,2,2,2,0,0,1,3,4
283,1,0,2,1,2,0,1,1,3,1
284,0,0,2,4,2,0,0,1,3,3
285,1,0,2,1,0,1,1,1,2,4
286,0,0,1,4,2,2,0,1,2,3
287,1,0,1,1,2,0,1,1,2,1
288,1,0,2,1,2,0,1,1,3,4
289,1,0,1,1,0,0,1,1,2,1
290,1,0,1,1,2,1,1,1,3,3
291,1,0,2,1,2,1,1,1,3,3
292,1,0,1,1,0,0,1,1,2,1
293,1,0,2,1,0,0,1,1,3,1
294,1,0,2,1,2,1,1,1,2,4
295,1,0,2,2,0,0,1,1,2,4
296,1,0,2,1,0,1,1,1,3,1
297,1,0,2,2,0,0,1,1,2,4
298,1,0,1,1,2,1,1,1,2,1
299,1,0,2,1,2,1,0,1,3,4
300,1,0,1,1,1,1,1,1,2,1
301,1,0,2,1,1,1,1,1,3,1
302,1,0,2,2,1,0,1,1,2,4
303,0,0,2,2,2,0,1,1,4,1
304,0,0,1,2,2,0,1,1,2,3
305,1,0,1,1,0,1,0,1,3,3
306,1,0,2,1,0,1,0,1,3,4
307,1,0,2,2,1,0,0,1,4,4
308,1,0,1,1,2,1,0,1,3,1
309,1,0,1,2,2,0,0,1,4,4
310,1,0,1,1,0,1,1,1,3,1
311,1,0,2,1,2,2,0,1,3,4
312,1,0,1,1,2,2,0,1,4,4
313,1,0,1,1,2,1,0,1,3,1
314,1,0,1,1,2,0,1,1,3,1
315,1,0,2,1,2,0,1,1,3,1
316,1,0,2,1,0,2,0,1,4,4
317,1,0,2,1,1,2,0,1,4,4
318,1,0,2,2,2,0,0,1,3,4
319,1,0,2,2,2,0,0,1,4,4
320,1,0,1,1,2,1,0,1,3,3
321,1,1,1,1,0,2,0,1,3,4
322,1,0,2,1,2,0,0,1,2,1
323,1,0,2,1,2,1,1,1,1,1
324,1,0,1,1,2,1,1,1,1,1
325,1,0,2,1,2,0,1,1,1,1
326,1,0,1,1,2,1,1,1,2,1
327,1,0,1,1,0,1,1,1,1,1
328,1,0,1,1,2,1,1,1,2,1
329,1,0,2,2,2,0,1,1,1,1
330,1,0,2,1,0,1,1,1,1,1
331,1,0,1,2,2,0,1,1,1,3
332,1,0,2,1,2,1,1,1,1,1
333,1,0,2,1,2,0,1,1,2,1
334,1,0,1,1,2,0,1,1,1,1
335,1,0,2,1,2,1,1,1,1,1
336,1,0,2,1,0,1,1,1,1,1
337,1,0,1,1,2,1,1,1,1,1
338,1,0,1,1,2,1,1,1,1,1
339,1,0,1,1,0,1,1,1,2,1
340,1,0,2,1,0,1,1,1,1,1
341,1,0,1,1,2,0,1,1,2,1
342,1,0,2,2,2,0,0,1,2,4
343,1,0,2,1,2,0,1,1,1,4
344,1,0,2,1,0,2,0,1,1,3
345,1,0,1,1,0,2,1,1,2,1
346,1,0,2,2,0,0,1,1,1,3
347,1,0,2,1,0,2,1,1,2,1
348,1,0,2,1,2,1,1,1,1,1
349,1,0,1,1,2,1,1,1,1,1
350,1,0,2,1,1,1,1,1,1,1
351,1,0,1,1,2,1,1,1,1,1
352,1,0,2,1,2,1,1,1,1,3
353,1,0,2,1,1,1,0,1,2,1
354,1,0,1,1,1,1,1,1,1,1
355,1,0,2,1,0,1,1,1,1,1
356,1,0,2,1,2,1,1,1,1,4
357,1,0,1,1,2,1,1,1,2,1
358,1,0,2,1,2,1,1,1,1,1
359,1,0,2,1,0,1,1,1,1,1
360,1,0,1,2,2,0,0,1,1,3
361,1,0,1,1,0,1,1,1,1,1
362,1,0,2,1,2,1,1,1,1,1
363,1,0,1,1,2,1,1,1,1,1
364,1,0,2,2,0,0,1,1,1,3
365,1,0,2,1,1,1,1,1,1,1
366,1,0,2,1,2,1,1,1,1,1
367,1,0,1,1,0,2,1,1,2,1
368,1,0,2,1,2,1,1,1,2,1
369,1,0,2,1,2,1,1,1,1,1
370,1,0,2,1,0,1,1,1,1,1
371,1,0,2,2,2,0,1,1,2,3
372,1,0,1,1,2,1,1,1,1,1
373,1,0,2,1,2,1,1,1,1,1
374,1,0,2,2,2,0,0,1,1,1
375,1,0,1,1,2,1,1,1,1,1
376,1,0,2,1,2,1,1,1,1,1
377,1,0,1,3,0,1,1,1,2,1
378,1,0,1,1,0,0,1,1,1,1
379,1,0,2,1,0,0,1,1,1,4
380,1,0,1,1,2,1,1,1,1,1
381,1,0,2,1,2,2,1,1,1,1
382,1,0,2,1,0,1,1,1,1,1
383,1,0,2,1,2,1,0,1,2,1
384,1,0,2,1,0,2,1,1,2,1
385,1,0,2,2,0,0,1,1,2,1
386,1,0,2,1,2,2,1,1,1,4
387,1,0,2,1,2,1,1,1,4,1
388,1,0,1,1,1,2,0,1,3,4
389,1,0,1,1,2,1,0,1,3,3
390,1,0,2,1,2,1,0,1,3,3
391,1,0,1,2,2,0,1,1,3,4
392,1,0,2,1,0,0,1,1,3,4
393,1,0,1,1,1,1,1,1,2,1
394,1,0,2,1,0,1,1,1,1,4
395,1,0,2,4,1,2,0,1,3,4
396,1,0,1,4,2,2,0,1,4,4
397,1,0,2,2,2,0,0,1,2,4
398,1,0,1,2,1,0,1,1,4,3
399,1,0,1,4,2,2,0,1,3,3
400,0,0,2,2,2,1,1,1,3,3
401,1,0,2,1,0,1,1,1,2,4
402,1,0,1,1,0,1,1,1,4,1
403,1,0,1,1,2,1,0,1,2,3
404,1,0,2,2,2,0,1,1,3,4
405,1,0,2,2,0,0,0,1,3,4
406,1,0,1,3,0,1,1,1,2,1
407,1,0,1,2,2,0,0,1,3,4
408,1,0,1,1,1,1,1,1,2,1
409,1,0,1,2,1,0,1,1,3,4
410,1,0,2,1,2,1,1,1,3,1
411,1,0,1,1,2,1,1,1,2,1
412,1,0,1,2,2,0,1,1,4,4
413,1,0,1,2,2,0,1,1,2,4
414,1,0,1,1,2,1,1,1,3,1
415,1,0,2,1,2,1,1,1,2,4
416,1,0,2,1,0,0,1,1,3,4
417,1,0,2,2,0,0,0,1,2,4
418,1,0,1,2,0,0,1,1,3,4
419,1,0,1,1,0,1,1,1,3,1
420,1,0,2,1,0,1,1,1,3,4
421,1,0,2,1,2,2,0,1,3,4
422,1,0,1,1,2,1,1,1,2,1
423,1,0,2,3,2,1,0,1,3,3
424,1,0,1,2,2,0,0,1,3,4
425,1,0,2,1,0,1,1,1,3,4
426,0,0,1,2,2,0,1,1,4,4
427,1,0,1,1,0,1,1,1,3,3
428,0,0,2,4,0,2,0,1,3,4
429,1,0,1,1,0,0,1,1,2,1
430,1,1,2,4,0,1,0,1,2,4
431,1,0,2,1,0,0,1,1,2,4
432,1,0,2,1,0,0,1,1,2,1
433,1,0,1,1,1,1,1,1,3,1
434,0,0,1,4,0,0,1,1,3,1
435,1,0,2,1,0,0,1,1,2,1
436,1,0,1,1,0,2,1,1,3,1
437,1,0,2,2,0,0,1,1,2,1
438,1,0,2,1,0,1,0,1,3,4
439,1,0,1,1,0,1,1,1,3,1
440,1,0,2,2,2,0,1,1,3,1
441,1,0,1,1,2,1,0,1,2,1
442,1,0,2,1,2,1,0,1,2,4
443,1,0,1,1,0,2,0,1,2,3
444,1,0,1,1,0,0,1,1,3,1
445,1,0,1,1,2,2,0,1,2,3
446,1,0,1,3,2,2,0,1,3,4
447,1,0,2,1,0,0,1,1,2,1
448,0,0,2,2,0,0,1,1,3,3
449,1,0,1,1,0,1,1,1,3,1
450,1,0,1,1,0,1,1,1,2,1
451,1,0,1,1,0,1,1,1,2,1
452,1,0,2,1,0,0,1,1,2,4
453,1,0,1,1,0,1,1,1,3,4
454,1,0,2,1,2,1,0,1,4,4
455,1,0,1,2,2,0,1,1,3,4
456,1,0,1,1,2,2,0,1,3,3
457,1,0,2,1,1,0,1,1,3,1
