,Q1,Q2B,Q3,Q6A3,Q6A6,Q6A8,Q6A9,Q6A11,Q8,Q9,Q11,Q12B1,Q12E1,Q12F1,Q13,Q15,Q17A1,Q18,Q20,Q21A,Q24B,Q28,Q32A4,Q34,Q37,Q40,Q41,Q42A,Q43,Q44A,Q45A3,Q47,Q47C,Q48,Q49,FAM1,MAR,DE2,DE3,DE7,DE8,DE9
54,0,6,1,3,3,3,4,3,2,2,4,0,0,0,3,2,0,1,0,0,1,3.0,1.5,80,1,1,1,1,0,0,2,3,2,2,1,1,1,1,0,1,2,3
55,1,4,1,3,3,3,4,4,3,3,3,0,1,1,4,4,1,1,1,0,0,3.0,1.5,70,1,1,2,3,2,0,1,3,2,0,1,1,2,0,1,1,3,1
56,0,6,2,3,3,4,4,2,2,3,4,0,0,0,3,2,0,1,1,0,1,3.0,1.5,70,1,1,2,1,2,0,3,1,3,2,2,1,1,1,0,1,2,3
57,0,2,1,4,4,4,2,4,3,2,4,1,0,1,4,3,1,1,1,0,0,3.0,1.5,50,1,2,2,1,2,0,3,2,3,0,1,1,1,1,1,1,2,3
58,0,6,1,4,4,4,2,2,3,2,4,0,1,1,4,3,0,1,1,0,0,3.0,1.5,85,1,2,2,4,0,0,2,0,0,2,1,1,1,1,1,1,4,4
59,0,6,0,3,2,2,2,2,2,2,3,0,0,1,3,2,0,1,1,0,0,4.5,3.0,85,1,2,2,1,2,0,3,3,2,0,1,1,1,1,0,1,4,3
60,0,3,0,2,3,3,4,4,3,2,3,0,0,1,4,3,1,0,0,0,1,1.5,3.0,70,1,1,1,2,2,0,0,0,0,0,2,1,2,0,0,1,4,4
61,0,6,0,3,4,4,3,3,4,2,3,0,0,1,4,3,0,1,0,0,1,1.5,1.5,50,0,2,2,2,0,2,0,1,2,2,1,1,1,0,0,1,3,3
62,1,2,1,3,2,4,3,2,3,4,2,0,0,1,3,2,1,0,1,1,1,4.5,1.5,10,1,1,1,1,2,0,2,0,0,1,0,1,2,0,1,1,3,4
63,0,4,2,3,2,2,2,2,4,3,3,1,0,1,2,4,1,1,1,0,0,4.5,3.0,50,0,2,2,1,2,0,3,1,3,0,1,0,2,1,1,1,2,3
64,1,6,0,2,4,4,3,3,2,2,3,0,0,1,3,3,0,0,1,0,1,1.5,1.5,70,1,1,2,4,2,0,2,0,0,0,0,1,2,0,0,1,4,4
