,Q43,Q44,Q44A,Q45A1,Q45A3,Q47,Q47B,Q47C,Q48,Q49
11821,0,3,0,1,2,2,1,3,2,1
11822,1,3,0,1,1,2,1,2,0,1
11823,0,3,0,1,2,3,2,3,2,2
11824,0,3,0,2,1,2,1,2,1,2
11825,2,3,0,1,1,0,0,0,1,2
11826,0,3,0,2,3,2,1,3,0,2
11827,1,3,0,2,1,2,1,3,1,2
11828,1,2,2,2,2,0,0,0,0,2
11829,1,3,0,3,2,2,2,2,0,0
11830,2,3,0,3,3,1,2,3,1,0
11831,2,3,0,2,2,2,2,2,0,0
11832,0,3,0,3,3,1,1,2,0,0
11833,0,1,3,3,2,2,2,3,1,0
11834,1,3,0,3,3,2,1,2,0,0
11835,1,3,0,3,3,2,2,3,0,0
11836,1,2,3,3,2,0,0,0,0,0
11837,1,3,0,3,3,2,1,3,0,0
11838,1,3,0,3,3,2,1,2,0,1
11839,1,3,0,2,3,1,2,2,0,0
11840,0,3,0,3,3,1,1,3,1,1
11841,0,3,0,3,2,2,1,1,2,0
11842,0,3,0,3,2,0,0,0,2,1
11843,2,3,0,3,3,0,0,0,2,1
11844,2,3,0,3,3,0,0,0,1,0
11845,0,3,0,2,2,2,1,3,1,0
11846,1,3,0,1,2,1,1,3,1,1
11847,1,3,0,1,2,2,1,3,1,0
11848,1,3,0,1,1,3,1,2,1,1
11849,0,3,0,3,2,0,0,0,1,2
11850,1,3,0,3,2,1,1,2,1,1
11851,1,3,0,3,2,0,0,0,1,1
11852,1,3,0,3,2,0,0,0,1,1
11853,0,3,0,2,3,2,1,3,1,1
11854,0,3,0,3,3,2,1,3,1,1
11855,0,3,0,3,2,0,0,0,2,2
11856,0,3,0,3,2,2,1,1,1,1
11857,0,3,0,2,2,2,1,3,1,1
11858,1,3,0,3,1,2,1,1,1,1
11859,0,3,0,3,3,3,1,3,1,1
11860,1,3,0,1,2,0,0,0,0,2
11861,1,2,2,1,3,2,1,3,0,0
11862,1,3,0,3,2,0,0,0,1,1
11863,2,3,0,3,3,0,0,0,0,1
11864,2,2,3,3,3,0,0,0,0,2
11865,1,3,0,1,2,0,0,0,1,0
11866,1,2,3,2,2,2,1,3,0,2
11867,2,3,0,3,1,1,1,2,0,1
11868,2,3,0,3,2,0,0,0,0,1
11869,2,2,3,2,1,2,1,3,0,1
11870,2,3,0,0,0,1,1,3,1,2
11871,0,3,0,2,1,3,1,2,0,1
11872,0,2,3,2,1,2,1,3,1,1
11873,0,3,0,2,1,2,1,2,0,1
11874,0,3,0,0,0,2,1,2,0,1
11875,0,3,0,2,1,3,2,1,0,1
11876,2,3,0,3,1,2,1,3,1,1
11877,0,2,3,2,1,2,1,3,1,2
11878,2,3,0,3,2,2,1,2,1,2
11879,0,3,0,2,1,2,1,1,0,1
11880,0,3,0,2,1,2,1,2,1,2
11881,0,3,0,2,1,1,1,3,1,2
11882,0,3,0,3,1,2,1,3,0,1
11883,0,3,0,2,3,0,0,0,1,1
11884,0,2,3,2,3,2,1,3,0,1
11885,0,3,0,2,2,0,0,0,0,1
11886,0,1,3,3,2,2,1,3,0,0
11887,0,3,0,3,3,2,1,2,0,0
11888,2,3,0,3,3,1,1,2,1,1
11889,0,3,0,2,1,2,1,3,0,1
11890,0,3,0,2,1,1,1,2,0,2
11891,0,3,0,2,1,1,1,2,0,1
11892,0,3,0,3,1,1,1,3,1,2
11893,0,3,0,2,1,2,1,3,0,2
11894,0,3,0,3,2,0,0,0,1,1
11895,2,3,0,3,2,2,1,2,1,2
11896,2,2,3,3,2,2,1,3,1,2
11897,2,3,0,3,1,0,0,0,1,1
11898,2,3,0,3,2,2,1,3,0,2
11899,2,2,3,3,2,2,1,3,0,2
11900,2,3,0,3,2,0,0,0,1,2
11901,2,3,0,3,1,3,2,1,1,1
11902,2,3,0,3,2,2,1,3,1,2
11903,2,3,0,3,1,0,0,0,1,1
11904,2,3,0,3,1,0,0,0,0,1
11905,2,2,3,3,2,0,0,0,0,2
11906,2,3,0,3,2,2,1,2,1,1
11907,0,3,0,3,2,0,0,0,0,2
11908,2,3,0,3,2,0,0,0,0,1
11909,2,3,0,3,2,1,1,3,1,2
11910,0,3,0,3,3,2,1,3,1,2
11911,2,3,0,2,2,0,0,0,0,1
11912,2,3,0,2,1,0,0,0,0,2
11913,0,3,0,0,2,1,1,3,0,2
11914,1,3,0,2,2,1,1,3,0,1
11915,0,3,0,1,2,2,1,3,1,1
11916,1,3,0,2,2,1,1,3,1,1
11917,2,3,0,2,2,0,0,0,0,1
11918,2,3,0,3,2,3,2,1,1,2
11919,0,3,0,3,3,2,1,3,0,2
11920,2,3,0,3,2,1,1,2,1,2
11921,2,3,0,3,3,2,1,3,0,2
11922,2,3,0,3,3,2,1,3,0,2
11923,2,3,0,3,3,3,2,1,0,1
11924,1,3,0,2,2,0,0,0,0,1
11925,2,3,0,3,3,1,1,1,1,2
11926,2,3,0,3,3,2,1,3,0,2
11927,2,3,0,3,2,2,1,3,0,2
11928,2,3,0,3,3,0,0,0,0,2
11929,0,3,0,2,2,0,0,0,0,2
11930,2,3,0,3,1,0,0,0,1,1
11931,2,3,0,3,3,0,0,0,1,1
11932,2,3,0,3,3,1,1,2,0,2
11933,2,3,0,3,2,2,1,2,1,1
11934,0,3,0,1,2,0,0,0,0,2
11935,0,3,0,1,2,1,1,2,0,2
11936,2,3,0,3,3,0,0,0,2,1
11937,2,3,0,3,2,2,1,1,1,1
11938,2,3,0,3,3,0,0,0,0,1
11939,2,3,0,3,1,0,0,0,1,1
11940,2,3,0,3,0,0,0,0,1,2
11941,0,2,2,1,2,2,1,3,0,2
11942,2,3,0,3,2,1,1,3,2,1
11943,0,3,0,3,1,3,2,1,2,2
11944,1,3,0,1,1,2,1,3,2,2
11945,0,3,0,2,1,0,0,0,2,2
11946,0,3,0,3,1,0,0,0,2,1
11947,1,3,0,2,3,0,0,0,2,1
11948,0,2,3,1,1,2,1,2,2,2
11949,0,3,0,3,2,1,1,2,2,1
11950,0,1,3,2,3,0,0,0,2,2
11951,2,3,0,3,1,0,0,0,1,1
11952,0,3,0,3,2,0,0,0,2,2
11953,0,3,0,3,1,0,0,0,2,1
11954,0,2,3,3,2,0,0,0,1,1
11955,0,3,0,3,2,3,1,2,0,0
11956,1,3,0,3,3,2,1,3,0,2
11957,0,3,0,3,3,0,0,0,0,1
11958,0,3,0,3,3,0,0,0,1,0
11959,0,3,0,3,3,0,0,0,0,1
11960,2,3,0,3,2,2,1,3,0,1
11961,0,3,0,3,2,3,2,3,0,1
11962,2,3,0,1,3,2,1,2,1,0
11963,2,3,0,1,3,0,0,0,1,0
11964,0,3,0,1,3,2,1,1,1,2
11965,0,3,0,3,2,0,0,0,1,0
11966,0,3,0,3,2,3,2,1,1,1
11967,0,3,0,3,2,2,1,2,0,2
11968,0,3,0,2,1,0,0,0,1,1
11969,0,3,0,2,2,2,1,2,2,2
11970,0,3,0,3,2,3,2,2,0,0
11971,0,3,0,3,2,2,1,3,1,2
11972,0,3,0,3,3,0,0,0,0,0
11973,0,3,0,3,3,0,0,0,1,1
11974,0,3,0,3,2,2,1,2,2,2
11975,0,3,0,3,2,2,1,2,1,2
11976,1,3,0,2,1,3,2,2,0,1
11977,0,3,0,1,1,1,1,2,1,2
11978,2,3,0,3,3,2,1,3,0,1
11979,2,1,3,2,3,2,1,2,1,1
11980,0,3,0,2,1,1,1,2,1,1
11981,0,2,3,3,2,0,0,0,1,1
11982,2,3,0,2,1,0,0,0,1,1
11983,0,2,3,2,1,2,1,2,1,2
11984,0,3,0,2,1,2,1,2,0,1
11985,0,3,0,2,1,2,2,3,0,1
